project,organization,location,recording_date,recording_time,status,latitude,longitude,buffer_radius_m,species_code,scientific_name,species_english_name,method,rain,wind,noise,industry_noise,audio_quality,species_individual_name,transcriber,abundance,confidence,min0_voc,min0_start,min1_voc,min1_start,min2_voc,min2_start,min3_voc,min3_start,min4_voc,min4_start,min5_voc,min5_start,min6_voc,min6_start,min7_voc,min7_start,min8_voc,min8_start,min9_voc,min9_start,comment,species_comment,source_file_name
Big Grids 2017,BU,BG-13-28,2017-05-19,05:03:00,Transcribed,55.082729,-111.980908,,AMRO,Turdus migratorius,American Robin,3m 1SPM,0,0,0,0,No audio quality issues,1,Scott Wilson,ONE,Confident,Song,3.5,,,Song,25.5,,,,,,,,,,,,,,,,,BG-0013-028_20170519_050300.wav
Big Grids 2017,BU,BG-13-28,2017-05-19,05:03:00,Transcribed,55.082729,-111.980908,,BCCH,Poecile atricapillus,Black-capped Chickadee,3m 1SPM,0,0,0,0,No audio quality issues,1,Scott Wilson,ONE,Confident,Song,1.5,Song,2.5,Song,0.5,,,,,,,,,,,,,,,,,BG-0013-028_20170519_050300.wav
Big Grids 2017,BU,BG-13-28,2017-05-19,05:03:00,Transcribed,55.082729,-111.980908,,BCFR,Pseudacris maculata,Boreal Chorus Frog,3m 1SPM,0,0,0,0,No audio quality issues,1,Scott Wilson,CI 1,Confident,Song,1.5,,,,,,,,,,,,,,,,,,,,,BG-0013-028_20170519_050300.wav
Big Grids 2017,BU,BG-13-28,2017-05-19,05:03:00,Transcribed,55.082729,-111.980908,,CANG,Branta canadensis,Canada Goose,3m 1SPM,0,0,0,0,No audio quality issues,1,Scott Wilson,TMTC,Confident,Call,0.5,,,,,,,,,,,,,,,,,,,,,BG-0013-028_20170519_050300.wav
Big Grids 2017,BU,BG-13-28,2017-05-19,05:03:00,Transcribed,55.082729,-111.980908,,CCSP,Spizella pallida,Clay-colored Sparrow,3m 1SPM,0,0,0,0,No audio quality issues,1,Scott Wilson,ONE,Confident,Song,41.5,Song,5.5,Song,0.5,,,,,,,,,,,,,,,,,BG-0013-028_20170519_050300.wav
Big Grids 2017,BU,BG-13-28,2017-05-19,05:03:00,Transcribed,55.082729,-111.980908,,COLO,Gavia immer,Common Loon,3m 1SPM,0,0,0,0,No audio quality issues,1,Scott Wilson,ONE,Confident,,,,,Call,27.5,,,,,,,,,,,,,,,,,BG-0013-028_20170519_050300.wav
Big Grids 2017,BU,BG-13-28,2017-05-19,05:03:00,Transcribed,55.082729,-111.980908,,DEJU,Junco hyemalis,Dark-eyed Junco,3m 1SPM,0,0,0,0,No audio quality issues,1,Scott Wilson,ONE,Confident,Song,17.5,,,,,,,,,,,,,,,,,,,,,BG-0013-028_20170519_050300.wav
Big Grids 2017,BU,BG-13-28,2017-05-19,05:03:00,Transcribed,55.082729,-111.980908,,GRAJ,Perisoreus canadensis,Gray Jay,3m 1SPM,0,0,0,0,No audio quality issues,1,Scott Wilson,ONE,Confident,,,Call,40.5,,,,,,,,,,,,,,,,,,,BG-0013-028_20170519_050300.wav
Big Grids 2017,BU,BG-13-28,2017-05-19,05:03:00,Transcribed,55.082729,-111.980908,,HETH,Catharus guttatus,Hermit Thrush,3m 1SPM,0,0,0,0,No audio quality issues,1,Scott Wilson,ONE,Confident,Song,15.5,Song,24.5,,,,,,,,,,,,,,,,,,,BG-0013-028_20170519_050300.wav
Big Grids 2017,BU,BG-13-28,2017-05-19,05:03:00,Transcribed,55.082729,-111.980908,,LCSP,Ammodramus leconteii,Le Conte's Sparrow,3m 1SPM,0,0,0,0,No audio quality issues,1,Scott Wilson,ONE,Confident,Song,32.5,Song,2.5,Song,3.5,,,,,,,,,,,,,,,,,BG-0013-028_20170519_050300.wav
Big Grids 2017,BU,BG-13-28,2017-05-19,05:03:00,Transcribed,55.082729,-111.980908,,LISP,Melospiza lincolnii,Lincoln's Sparrow,3m 1SPM,0,0,0,0,No audio quality issues,1,Scott Wilson,ONE,Confident,Song,7.5,Song,0.5,Song,14.5,,,,,,,,,,,,,,,,,BG-0013-028_20170519_050300.wav
Big Grids 2017,BU,BG-13-28,2017-05-19,05:03:00,Transcribed,55.082729,-111.980908,,OVEN,Seiurus aurocapilla,Ovenbird,3m 1SPM,0,0,0,0,No audio quality issues,1,Scott Wilson,ONE,Confident,Song,9.5,Song,26.5,,,,,,,,,,,,,,,,,,,BG-0013-028_20170519_050300.wav
Big Grids 2017,BU,BG-13-28,2017-05-19,05:03:00,Transcribed,55.082729,-111.980908,,RCKI,Regulus calendula,Ruby-crowned Kinglet,3m 1SPM,0,0,0,0,No audio quality issues,1,Scott Wilson,ONE,Confident,Song,55.5,Song,12.5,,,,,,,,,,,,,,,,,,,BG-0013-028_20170519_050300.wav
Big Grids 2017,BU,BG-13-28,2017-05-19,05:03:00,Transcribed,55.082729,-111.980908,,REVI,Vireo olivaceus,Red-eyed Vireo,3m 1SPM,0,0,0,0,No audio quality issues,1,Scott Wilson,ONE,Confident,Call,0.5,Call,2.5,Call,0.5,,,,,,,,,,,,,,,,,BG-0013-028_20170519_050300.wav
Big Grids 2017,BU,BG-13-28,2017-05-19,05:03:00,Transcribed,55.082729,-111.980908,,REVI,Vireo olivaceus,Red-eyed Vireo,3m 1SPM,0,0,0,0,No audio quality issues,2,Scott Wilson,ONE,Confident,,,Song,3.5,,,,,,,,,,,,,,,,,,,BG-0013-028_20170519_050300.wav
